,,,,
Experiment/Run,Lab,Item Name,Item ID,Status
25985,BioFAB,CEN.PK2alpha pYDR115W-EYFP::HIS,25376,
25985,BioFAB,CEN.PK2 - MAT alpha,22801,
25985,BioFAB,CEN.PK2alpha pYBR122C-EYFP::HIS,25374,
25985,BioFAB,CEN.PK2alpha pYDR092W_long-EYFP::HIS,25375,
20249,BioFAB,pCENK2 Diploid pCUP1::eYFP| pSNR52::sgpCUP1-6 2xMS2|pGPD::dCAs9| pGPD::NLS-PCP-VP64 LEU|URA|HIS|TRP,24794,
20249,BioFAB,pCENK2 Diploid pCUP1::eYFP| pSNR52::sgpCUP1-6 2xMS2|pGPD::dCAs9| pGPD::NLS-MCP-VP64 LEU|URA|HIS|TRP,24786,
20249,BioFAB,pCENK2 Diploid pCUP1::eYFP| pSNR52::sgpCUP1-6 2xMS2|pGPD::dCAs9| pGPD::NLS-COM-VP64 LEU|URA|HIS|TRP,24802,
20249,BioFAB,pCENK2 Diploid pCUP1::eYFP| pSNR52::sgpCUP1-7 2xMS2|pGPD::dCAs9| pGPD::NLS-MCP-VP64 LEU|URA|HIS|TRP,24787,
20249,BioFAB,pCENK2 Diploid pCUP1::eYFP| pSNR52::sgpCUP1-7 2xMS2|pGPD::dCAs9| pGPD::NLS-COM-VP64 LEU|URA|HIS|TRP,24803,
20249,BioFAB,pCENK2 Diploid pCUP1::eYFP| pSNR52::sgpCUP1-2 2xMS2|pGPD::dCAs9| pGPD::NLS-PCP-VP64 LEU|URA|HIS|TRP,24790,
20249,BioFAB,pCENK2 Diploid pCUP1::eYFP| pSNR52::sgpCUP1-8 2xMS2|pGPD::dCAs9| pGPD::NLS-MCP-VP64 LEU|URA|HIS|TRP,24788,
20249,BioFAB,pCENK2 Diploid pCUP1::eYFP| pSNR52::sgpCUP1-8 2xMS2|pGPD::dCAs9| pGPD::NLS-COM-VP64 LEU|URA|HIS|TRP,24804,
20249,BioFAB,pCENK2 Diploid pCUP1::eYFP| pSNR52::sgpCUP1-8 2xMS2|pGPD::dCAs9| pGPD::NLS-PCP-VP64 LEU|URA|HIS|TRP,24796,
25985,BioFAB,CEN.PK2alpha pYDR115W-EYFP::HIS,25376,
25985,BioFAB,CEN.PK2 - MAT alpha,22801,
25985,BioFAB,CEN.PK2alpha pYDR092W_long-EYFP::HIS,25375,
25985,BioFAB,CEN.PK2alpha pYBR122C-EYFP::HIS,25374,
17026,BioFAB,Fluorescein Sodium Salt,22750,
17026,BioFAB,LUDOX Stock,22749,
17026,BioFAB,Nuclease-free water,15210,
17016,BioFAB,Kan,Kan,
17016,BioFAB,arab,arab,
17016,BioFAB,M9,M9,
17016,BioFAB,Fluorescein Sodium Salt,22750,
17016,BioFAB,LUDOX Stock,22749,
17016,BioFAB,Nuclease-free water,15210,
16122,BioFAB,Kan,Kan,
16122,BioFAB,arab,arab,
18598,BioFAB,Fluorescein Sodium Salt,22750,
18598,BioFAB,LUDOX Stock,22749,
18598,BioFAB,Nuclease-free water,15210,
17016,BioFAB,Kan,Kan,
17016,BioFAB,arab,arab,
18598,BioFAB,Fluorescein Sodium Salt,22750,
18598,BioFAB,LUDOX Stock,22749,
18598,BioFAB,Nuclease-free water,15210,
14866,BioFAB,Fluorescein Sodium Salt,22750,
14866,BioFAB,LUDOX Stock,22749,
14866,BioFAB,Nuclease-free water,15210,
15984,BioFAB,Fluorescein Sodium Salt,22750,
15984,BioFAB,LUDOX Stock,22749,
15984,BioFAB,Nuclease-free water,15210,
17026,BioFAB,Fluorescein Sodium Salt,22750,
17026,BioFAB,LUDOX Stock,22749,
17026,BioFAB,Nuclease-free water,15210,
17413,BioFAB,Fluorescein Sodium Salt,22750,
17413,BioFAB,LUDOX Stock,22749,
17413,BioFAB,Nuclease-free water,15210,
17987,BioFAB,Fluorescein Sodium Salt,22750,
17987,BioFAB,LUDOX Stock,22749,
17987,BioFAB,Nuclease-free water,15210,
18527,BioFAB,Fluorescein Sodium Salt,22750,
18527,BioFAB,LUDOX Stock,22749,
18527,BioFAB,Nuclease-free water,15210,
18598,BioFAB,Fluorescein Sodium Salt,22750,
18598,BioFAB,LUDOX Stock,22749,
18598,BioFAB,Nuclease-free water,15210,
experiment.ginkgo.19283,Transcriptic,IPTG,IPTG,
experiment.ginkgo.19283,Transcriptic,Arabinose,Arabinose,
experiment.ginkgo.18536.18537,Ginkgo,e2776 (LB),2776,
experiment.ginkgo.18536.18537,Ginkgo,e3802 (GinkFlow Read Buffer-0.25% BSA-0.5% Kolliphor P188),3802,
experiment.ginkgo.18256.18257,Ginkgo,e2776 (LB),2776,
experiment.ginkgo.18256.18257,Ginkgo,e3802 (GinkFlow Read Buffer-0.25% BSA-0.5% Kolliphor P188),3802,
experiment.ginkgo.18256.18527,Ginkgo,e2776 (LB),2776,
